"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"228","Aphidius ervi","Insecta","Hymenoptera","Apocrita","Braconidae","Aphidius","GCA_011426455.1","Scaffold"
"229","Aphidius gifuensis","Insecta","Hymenoptera","Apocrita","Braconidae","Aphidius","GCF_014905175.1","Chromosome"
"230","Aphidoletes aphidimyza","Insecta","Diptera","Nematocera","Cecidomyiidae","Aphidoletes","GCA_030463065.1","Chromosome"
"231","Aphis craccivora","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Aphis","GCA_009835225.1","Scaffold"
"232","Aphis glycines","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Aphis","GCA_009928515.1","Scaffold"
"233","Aphis gossypii","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Aphis","GCA_917880025.3","Chromosome"
"234","Aphodius immundus","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Aphodius","GCA_032191705.1","Contig"
"235","Aphrophora alni","Insecta","Hemiptera","Auchenorrhyncha","Aphrophoridae","Aphrophora","GCA_963513935.1","Chromosome"
"236","Apis cerana","Insecta","Hymenoptera","Apocrita","Apidae","Apis","GCA_020141525.2","Chromosome"
"237","Apis dorsata","Insecta","Hymenoptera","Apocrita","Apidae","Apis","GCF_000469605.1","Scaffold"
"238","Apis florea","Insecta","Hymenoptera","Apocrita","Apidae","Apis","GCF_000184785.1","Scaffold"
"239","Apis laboriosa","Insecta","Hymenoptera","Apocrita","Apidae","Apis","GCF_014066325.1","Scaffold"
"240","Apis mellifera","Insecta","Hymenoptera","Apocrita","Apidae","Apis","GCA_003314205.1","Chromosome"
"241","Aplocera efformata","Insecta","Lepidoptera","Glossata","Geometridae","Aplocera","GCA_921293045.1","Chromosome"
"242","Apocheima hispidaria","Insecta","Lepidoptera","Glossata","Geometridae","Apocheima","GCA_947579745.1","Chromosome"
"243","Apocrypta bakeri","Insecta","Hymenoptera","Apocrita","Pteromalidae","Apocrypta","GCA_018906985.1","Contig"
"244","Apoda limacodes","Insecta","Lepidoptera","Glossata","Limacodidae","Apoda","GCA_946406115.1","Chromosome"
"245","Apodemia ares","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236005.1","Contig"
"246","Apodemia arnacis","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236945.1","Contig"
"247","Apodemia chisosensis","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018235905.1","Contig"
"248","Apodemia duryi","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236965.1","Contig"
"249","Apodemia hepburni","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_022343005.1","Contig"
"250","Apodemia hypoglauca","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018237965.1","Contig"
"251","Apodemia mejicanus","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236045.1","Contig"
"252","Apodemia mormo","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018252315.1","Contig"
"253","Apodemia multiplaga","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236985.1","Contig"
"254","Apodemia murphyi","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018237385.1","Contig"
"255","Apodemia nais","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018235965.1","Contig"
"256","Apodemia palmerii","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_022343025.1","Contig"
"257","Apodemia virgulti","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018235885.1","Contig"
"258","Apodemia walkeri","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018237765.1","Contig"
"259","Apodemia zela","Insecta","Lepidoptera","Glossata","Riodinidae","Apodemia","GCA_018236825.1","Contig"
"260","Apoderus coryli","Insecta","Coleoptera","Polyphaga","Attelabidae","Apoderus","GCA_911728435.1","Chromosome"
"261","Apolygus lucorum","Insecta","Hemiptera","Heteroptera","Miridae","Apolygus","GCA_009739505.1","Chromosome"
"262","Apomyelois bistriatella","Insecta","Lepidoptera","Glossata","Pyralidae","Apomyelois","GCA_947044815.1","Chromosome"
"263","Aporia crataegi","Insecta","Lepidoptera","Glossata","Pieridae","Aporia","GCA_912999735.1","Chromosome"
"264","Aporophyla lueneburgensis","Insecta","Lepidoptera","Glossata","Noctuidae","Aporophyla","GCA_932294355.1","Chromosome"
"265","Aporophyla nigra","Insecta","Lepidoptera","Glossata","Noctuidae","Aporophyla","GCA_947507805.1","Chromosome"
"266","Apostictopterus fuliginosus","Insecta","Lepidoptera","Glossata","Hesperiidae","Apostictopterus","GCA_018245455.1","Contig"
"267","Apotomis betuletana","Insecta","Lepidoptera","Glossata","Tortricidae","Apotomis","GCA_932273695.1","Chromosome"
"268","Apotomis capreana","Insecta","Lepidoptera","Glossata","Tortricidae","Apotomis","GCA_947623375.1","Chromosome"
"269","Apotomis turbidana","Insecta","Lepidoptera","Glossata","Tortricidae","Apotomis","GCA_905147355.2","Chromosome"
"270","Aproaerema taeniolella","Insecta","Lepidoptera","Glossata","Gelechiidae","Aproaerema","GCA_949987775.1","Chromosome"
"271","Apteronemobius asahinai","Insecta","Orthoptera","Ensifera","Gryllidae","Apteronemobius","GCA_019974035.1","Scaffold"
"272","Aptinothrips rufus","Insecta","Thysanoptera","Terebrantia","Thripidae","Aptinothrips","GCA_902196195.1","Contig"
"273","Apyrrothrix (Melanopyge) sp. n. Burns01","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018237605.1","Contig"
"274","Apyrrothrix aesculapus","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018245815.1","Contig"
"275","Apyrrothrix araxes","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018239065.1","Contig"
"276","Apyrrothrix arizonae","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018239105.1","Contig"
"277","Apyrrothrix chalybea","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018245115.1","Contig"
"278","Apyrrothrix hoffmanni","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018237565.1","Contig"
"279","Apyrrothrix hygieia","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018245845.1","Contig"
"280","Apyrrothrix maculosa","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018237585.1","Contig"
"281","Apyrrothrix mulleri","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018237545.1","Contig"
"282","Apyrrothrix sangaris","Insecta","Lepidoptera","Glossata","Hesperiidae","Apyrrothrix","GCA_018237525.1","Contig"
"283","Aquatica leii","Insecta","Coleoptera","Polyphaga","Lampyridae","Aquatica","GCA_035610365.1","Chromosome"
"284","Aradophagus sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Aradophagus","GCA_022817685.1","Scaffold"
"285","Aradus depressus","Insecta","Hemiptera","Heteroptera","Aradidae","Aradus","GCA_963662175.1","Chromosome"
"286","Archaeoteleia sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Archaeoteleia","GCA_022817725.1","Scaffold"
"287","Archips crataeganus","Insecta","Lepidoptera","Glossata","Tortricidae","Archips","GCA_947859365.1","Chromosome"
"288","Archips xylosteana","Insecta","Lepidoptera","Glossata","Tortricidae","Archips","GCA_947563465.1","Chromosome"
"289","Archon apollinus","Insecta","Lepidoptera","Glossata","Papilionidae","Archon","GCA_018248195.1","Contig"
"290","Arctia plantaginis","Insecta","Lepidoptera","Glossata","Erebidae","Arctia","GCA_902825445.1","Scaffold"
"291","Arctopsyche grandis","Insecta","Trichoptera","Annulipalpia","Hydropsychidae","Arctopsyche","GCA_029955255.1","Contig"
"292","Ardaris aerata","Insecta","Lepidoptera","Glossata","Hesperiidae","Ardaris","GCA_018249555.1","Contig"
"293","Ardaris eximia","Insecta","Lepidoptera","Glossata","Hesperiidae","Ardaris","GCA_018246835.1","Contig"
"294","Ardaris minthe","Insecta","Lepidoptera","Glossata","Hesperiidae","Ardaris","GCA_018244935.1","Contig"
"295","Ardaris pityusa","Insecta","Lepidoptera","Glossata","Hesperiidae","Ardaris","GCA_018244955.1","Contig"
"296","Ardaris sela","Insecta","Lepidoptera","Glossata","Hesperiidae","Ardaris","GCA_018246975.1","Contig"
"297","Argynnis bischoffii","Insecta","Lepidoptera","Glossata","Nymphalidae","Argynnis","GCA_033884665.1","Chromosome"
"298","Argyresthia albistria","Insecta","Lepidoptera","Glossata","Argyresthiidae","Argyresthia","GCA_963457715.1","Chromosome"
"299","Argyresthia goedartella","Insecta","Lepidoptera","Glossata","Argyresthiidae","Argyresthia","GCA_949825045.1","Chromosome"
"300","Aricia agestis","Insecta","Lepidoptera","Glossata","Lycaenidae","Aricia","GCA_944452695.1","Chromosome"
"301","Aricia artaxerxes","Insecta","Lepidoptera","Glossata","Lycaenidae","Aricia","GCA_937612035.1","Chromosome"
"302","Armigeres subalbatus","Insecta","Diptera","Nematocera","Culicidae","Armigeres","GCA_024139115.2","Chromosome"
"303","Aromia moschata","Insecta","Coleoptera","Polyphaga","Cerambycidae","Aromia","GCA_029963805.1","Contig"
"304","Arteurotia tractipennis","Insecta","Lepidoptera","Glossata","Hesperiidae","Arteurotia","GCA_018247755.1","Contig"
"305","Asbolis capucinus","Insecta","Lepidoptera","Glossata","Hesperiidae","Asbolis","GCA_018249125.1","Contig"
"306","Asbolus verrucosus","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Asbolus","GCA_004193795.1","Scaffold"
"307","Asobara japonica","Insecta","Hymenoptera","Apocrita","Braconidae","Asobara","GCA_026005395.1","Contig"
"308","Aspidapion aeneum","Insecta","Coleoptera","Polyphaga","Apionidae","Aspidapion","GCA_963576565.1","Chromosome"
"309","Aspidiotus destructor","Insecta","Hemiptera","Sternorrhyncha","Diaspididae","Aspidiotus","GCA_035079395.1","Contig"
"310","Aspidiotus rigidus","Insecta","Hemiptera","Sternorrhyncha","Diaspididae","Aspidiotus","GCA_035079385.1","Contig"
"311","Aspitha agenoria","Insecta","Lepidoptera","Glossata","Hesperiidae","Aspitha","GCA_018247295.1","Contig"
"312","Aspitha aspitha","Insecta","Lepidoptera","Glossata","Hesperiidae","Aspitha","GCA_018246895.1","Contig"
"313","Aspitha bassleri","Insecta","Lepidoptera","Glossata","Hesperiidae","Aspitha","GCA_018244915.1","Contig"
"314","Asteroscopus sphinx","Insecta","Lepidoptera","Glossata","Noctuidae","Asteroscopus","GCA_949699075.1","Chromosome"
"315","Astictopterus jama","Insecta","Lepidoptera","Glossata","Hesperiidae","Astictopterus","GCA_018251455.1","Contig"
"316","Astraptes apastus","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018250635.1","Contig"
"317","Astraptes brevicauda","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018252015.1","Contig"
"318","Astraptes enotrus","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018250335.1","Contig"
"319","Astraptes hopfferi","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018250695.1","Contig"
"320","Astraptes naxos","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018250675.1","Contig"
"321","Astraptes talus","Insecta","Lepidoptera","Glossata","Hesperiidae","Astraptes","GCA_018250735.1","Contig"
"322","Atarnes sallei","Insecta","Lepidoptera","Glossata","Hesperiidae","Atarnes","GCA_018252395.1","Contig"
"323","Atethmia centrago","Insecta","Lepidoptera","Glossata","Noctuidae","Atethmia","GCA_905333075.1","Chromosome"
"324","Athalia rosae","Insecta","Hymenoptera",NA,"Athaliidae","Athalia","GCF_917208135.1","Chromosome"
"325","Atherix ibis","Insecta","Diptera","Brachycera","Athericidae","Atherix","GCA_958298945.1","Chromosome"
"326","Atheta pasadenae","Insecta","Coleoptera","Polyphaga","Staphylinidae","Atheta","GCA_030264155.1","Scaffold"
"327","Athetis lepigone","Insecta","Lepidoptera","Glossata","Noctuidae","Athetis","GCA_033675125.1","Chromosome"
"328","Athrips mouffetella","Insecta","Lepidoptera","Glossata","Gelechiidae","Athrips","GCA_947532105.1","Chromosome"
"329","Athripsodes cinereus","Insecta","Trichoptera","Integripalpia","Leptoceridae","Athripsodes","GCA_947579605.1","Chromosome"
"330","Atopsyche davidsoni","Insecta","Trichoptera","Integripalpia","Hydrobiosidae","Atopsyche","GCA_022113835.1","Contig"
"331","Atrophaneura dixoni","Insecta","Lepidoptera","Glossata","Papilionidae","Atrophaneura","GCA_018248015.1","Contig"
"332","Atrytonopsis hianna","Insecta","Lepidoptera","Glossata","Hesperiidae","Atrytonopsis","GCA_018249035.1","Contig"
"333","Atta cephalotes","Insecta","Hymenoptera","Apocrita","Formicidae","Atta","GCF_000143395.1","Scaffold"
"334","Atta colombica","Insecta","Hymenoptera","Apocrita","Formicidae","Atta","GCF_001594045.1","Scaffold"
"335","Atta texana","Insecta","Hymenoptera","Apocrita","Formicidae","Atta","GCA_004480015.1","Scaffold"
"336","Augiades crinisus","Insecta","Lepidoptera","Glossata","Hesperiidae","Augiades","GCA_022318245.1","Contig"
"337","Augochlora pura","Insecta","Hymenoptera","Apocrita","Halictidae","Augochlora","GCA_028453695.1","Chromosome"
"338","Augochlorella aurata","Insecta","Hymenoptera","Apocrita","Halictidae","Augochlorella","GCA_028455555.1","Chromosome"
"339","Aulacorthum solani","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Aulacorthum","GCA_008528875.1","Scaffold"
"340","Aurina azines","Insecta","Lepidoptera","Glossata","Hesperiidae","Aurina","GCA_018248755.1","Contig"
"341","Aurina dida","Insecta","Lepidoptera","Glossata","Hesperiidae","Aurina","GCA_018248635.1","Contig"
"342","Aurivittia aurivittata","Insecta","Lepidoptera","Glossata","Hesperiidae","Aurivittia","GCA_018245275.1","Contig"
"343","Autochton bipunctatus","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018251555.1","Contig"
"344","Autochton cellus","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018251495.1","Contig"
"345","Autochton itylus","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018251535.1","Contig"
"346","Autochton longipennis","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018249355.1","Contig"
"347","Autochton oryx","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018250435.1","Contig"
"348","Autochton potrillo","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018250395.1","Contig"
"349","Autochton pseudocellus","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018251715.1","Contig"
"350","Autochton reflexus","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018249295.1","Contig"
"351","Autochton zarex","Insecta","Lepidoptera","Glossata","Hesperiidae","Autochton","GCA_018249315.1","Contig"
"352","Autographa gamma","Insecta","Lepidoptera","Glossata","Noctuidae","Autographa","GCA_905146925.1","Chromosome"
"353","Autographa pulchrina","Insecta","Lepidoptera","Glossata","Noctuidae","Autographa","GCA_905475315.1","Chromosome"
"354","Axea sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Axea","GCA_022817665.1","Scaffold"
"355","Azonax typhaon","Insecta","Lepidoptera","Glossata","Hesperiidae","Azonax","GCA_018245255.1","Contig"
"356","Baccha elongata","Insecta","Diptera","Brachycera","Syrphidae","Baccha","GCA_951217065.1","Chromosome"
"357","Bacillus rossius","Insecta","Phasmatodea","Verophasmatodea","Bacillidae","Bacillus","GCA_032445375.1","Chromosome"
"358","Bactericera cockerelli","Insecta","Hemiptera","Sternorrhyncha","Triozidae","Bactericera","GCA_024516035.1","Chromosome"
"359","Bactrocera correcta","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCA_027475135.1","Chromosome"
"360","Bactrocera dorsalis","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCA_020283865.1","Complete Genome"
"361","Bactrocera latifrons","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCF_001853355.1","Scaffold"
"362","Bactrocera minax","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCA_021498325.1","Contig"
"363","Bactrocera neohumeralis","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCF_024586455.1","Chromosome"
"364","Bactrocera oleae","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCA_001188975.1","Scaffold"
"365","Bactrocera tryoni","Insecta","Diptera","Brachycera","Tephritidae","Bactrocera","GCF_016617805.1","Chromosome"
"366","Baeotis zonata","Insecta","Lepidoptera","Glossata","Riodinidae","Baeotis","GCA_018237305.1","Contig"
"367","Baetis rhodani","Insecta","Ephemeroptera","Pisciforma","Baetidae","Baetis","GCA_001676355.1","Contig"
"368","Balanococcus diminutus","Insecta","Hemiptera","Sternorrhyncha","Pseudococcidae","Balanococcus","GCA_959613365.1","Chromosome"
"369","Barca bicolor","Insecta","Lepidoptera","Glossata","Hesperiidae","Barca","GCA_018247395.1","Contig"
"370","Baronia brevicornis","Insecta","Lepidoptera","Glossata","Papilionidae","Baronia","GCA_018248095.1","Contig"
"371","Baryconus sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Baryconus","GCA_022817705.1","Scaffold"
"372","Battus belus","Insecta","Lepidoptera","Glossata","Papilionidae","Battus","GCA_018248135.1","Contig"
"373","Battus philenor","Insecta","Lepidoptera","Glossata","Papilionidae","Battus","GCA_028537555.1","Scaffold"
"374","Bedellia somnulentella","Insecta","Lepidoptera","Glossata","Bedelliidae","Bedellia","GCA_963576735.1","Chromosome"
"375","Befrostia elegia","Insecta","Lepidoptera","Glossata","Riodinidae","Befrostia","GCA_018237425.1","Contig"
"376","Befrostia lalannei","Insecta","Lepidoptera","Glossata","Riodinidae","Befrostia","GCA_018237785.1","Contig"
"377","Belgica antarctica","Insecta","Diptera","Nematocera","Chironomidae","Belgica","GCA_000775305.1","Scaffold"
"378","Bellardia bayeri","Insecta","Diptera","Brachycera","Calliphoridae","Bellardia","GCA_950370525.1","Chromosome"
"379","Bellardia pandia","Insecta","Diptera","Brachycera","Calliphoridae","Bellardia","GCA_916048285.1","Chromosome"
"380","Belonocnema kinseyi","Insecta","Hymenoptera","Apocrita","Cynipidae","Belonocnema","GCF_010883055.1","Chromosome"
"381","Bembecia ichneumoniformis","Insecta","Lepidoptera","Glossata","Sesiidae","Bembecia","GCA_910589475.2","Chromosome"
"382","Bembidion lapponicum","Insecta","Coleoptera","Adephaga","Carabidae","Bembidion","GCA_913698125.1","Contig"
"383","Bembidion nr. transversale OSAC:DRMaddison DNA3205","Insecta","Coleoptera","Adephaga","Carabidae","Bembidion","GCA_913698245.1","Contig"
"384","Bemisia tabaci","Insecta","Hemiptera","Sternorrhyncha","Aleyrodidae","Bemisia","GCA_918797505.1","Chromosome"
"385","Beris chalybata","Insecta","Diptera","Brachycera","Stratiomyidae","Beris","GCA_949128065.1","Chromosome"
"386","Beris morrisii","Insecta","Diptera","Brachycera","Stratiomyidae","Beris","GCA_951812415.1","Chromosome"
"387","Berosus sp. SLE1611","Insecta","Coleoptera","Polyphaga","Hydrophilidae","Berosus","GCA_033557775.1","Contig"
"388","Bhutanitis pulchristriata","Insecta","Lepidoptera","Glossata","Papilionidae","Bhutanitis","GCA_018248175.1","Contig"
